method,match_index,distance
CUSTOM_SDSLIC_SIFT_10000,1,31.368
CUSTOM_SDSLIC_SIFT_10000,2,43.3563
CUSTOM_SDSLIC_SIFT_10000,3,60.7683
CUSTOM_SDSLIC_SIFT_10000,4,52.1459
CUSTOM_SDSLIC_SIFT_10000,5,47.4228
ORB_GLOBAL_10000,1,54.4909
ORB_GLOBAL_10000,2,82.9438
ORB_GLOBAL_10000,3,32.0702
ORB_GLOBAL_10000,4,45.1221
ORB_GLOBAL_10000,5,50.9188
ORB_SUPERPIXEL_SPATIAL_128_10000,1,54.4909
ORB_SUPERPIXEL_SPATIAL_128_10000,2,65.2034
ORB_SUPERPIXEL_SPATIAL_128_10000,3,74.6002
ORB_SUPERPIXEL_SPATIAL_128_10000,4,72.8209
ORB_SUPERPIXEL_SPATIAL_128_10000,5,70.9264
ORB_SUPERPIXEL_SPATIAL_32_10000,1,69.5124
ORB_SUPERPIXEL_SPATIAL_32_10000,2,135.854
ORB_SUPERPIXEL_SPATIAL_32_10000,3,60.9529
ORB_SUPERPIXEL_SPATIAL_32_10000,4,29.3684
ORB_SUPERPIXEL_SPATIAL_32_10000,5,47.0559
ORB_SUPERPIXEL_SPATIAL_512_10000,1,76.5775
ORB_SUPERPIXEL_SPATIAL_512_10000,2,83.1584
ORB_SUPERPIXEL_SPATIAL_512_10000,3,50.7864
ORB_SUPERPIXEL_SPATIAL_512_10000,4,49.993
ORB_SUPERPIXEL_SPATIAL_512_10000,5,46.6847
ORB_SUPERPIXEL_SPATIAL_8_10000,1,40.106
ORB_SUPERPIXEL_SPATIAL_8_10000,2,43.284
ORB_SUPERPIXEL_SPATIAL_8_10000,3,51.4238
ORB_SUPERPIXEL_SPATIAL_8_10000,4,36.702
ORB_SUPERPIXEL_SPATIAL_8_10000,5,44.3127
SIFT_GLOBAL_10000,1,23.1072
SIFT_GLOBAL_10000,2,31.7218
SIFT_GLOBAL_10000,3,26.3648
SIFT_GLOBAL_10000,4,26.1944
SIFT_GLOBAL_10000,5,28.9974
SIFT_SUPERPIXEL_SPATIAL_128_10000,1,31.6564
SIFT_SUPERPIXEL_SPATIAL_128_10000,2,37.6566
SIFT_SUPERPIXEL_SPATIAL_128_10000,3,38.828
SIFT_SUPERPIXEL_SPATIAL_128_10000,4,36.9622
SIFT_SUPERPIXEL_SPATIAL_128_10000,5,41.8748
SIFT_SUPERPIXEL_SPATIAL_32_10000,1,37.362
SIFT_SUPERPIXEL_SPATIAL_32_10000,2,81.8487
SIFT_SUPERPIXEL_SPATIAL_32_10000,3,61.3745
SIFT_SUPERPIXEL_SPATIAL_32_10000,4,70.9256
SIFT_SUPERPIXEL_SPATIAL_32_10000,5,46.2532
SIFT_SUPERPIXEL_SPATIAL_512_10000,1,29.6156
SIFT_SUPERPIXEL_SPATIAL_512_10000,2,26.3648
SIFT_SUPERPIXEL_SPATIAL_512_10000,3,22.608
SIFT_SUPERPIXEL_SPATIAL_512_10000,4,36.4176
SIFT_SUPERPIXEL_SPATIAL_512_10000,5,38.1045
SIFT_SUPERPIXEL_SPATIAL_8_10000,1,73.2389
SIFT_SUPERPIXEL_SPATIAL_8_10000,2,69.4422
SIFT_SUPERPIXEL_SPATIAL_8_10000,3,43.284
SIFT_SUPERPIXEL_SPATIAL_8_10000,4,82.7749
SIFT_SUPERPIXEL_SPATIAL_8_10000,5,65.8197
