method,feature,descriptor_mode,superpixel_cell_size,grid_x,grid_y,max_images,num_indexed,precision_at_k,index_time_ms,query_time_ms,index_time_per_image_ms,query_time_per_image_ms
SIFT_GLOBAL_10000,SIFT,GLOBAL,0,0,0,10000,10000,1,2.50563e+06,328.754,250.563,0.0328754
ORB_GLOBAL_10000,ORB,GLOBAL,0,0,0,10000,10000,0.4,174469,111.796,17.4469,0.0111796
SIFT_SUPERPIXEL_SPATIAL_8_10000,SIFT,SUPERPIXEL_SPATIAL,8,32,32,10000,10000,0.2,8.35045e+06,7257.48,835.045,0.725748
ORB_SUPERPIXEL_SPATIAL_8_10000,ORB,SUPERPIXEL_SPATIAL,8,32,32,10000,10000,0.2,2.4175e+06,1588.23,241.75,0.158823
SIFT_SUPERPIXEL_SPATIAL_32_10000,SIFT,SUPERPIXEL_SPATIAL,32,8,8,10000,10000,0.8,3.22839e+06,810.674,322.839,0.0810674
ORB_SUPERPIXEL_SPATIAL_32_10000,ORB,SUPERPIXEL_SPATIAL,32,8,8,10000,10000,0.4,306832,153.929,30.6832,0.0153929
SIFT_SUPERPIXEL_SPATIAL_128_10000,SIFT,SUPERPIXEL_SPATIAL,128,2,2,10000,10000,0.8,1.08794e+06,188.969,108.794,0.0188969
ORB_SUPERPIXEL_SPATIAL_128_10000,ORB,SUPERPIXEL_SPATIAL,128,2,2,10000,10000,0,97264.8,62.7392,9.72648,0.00627392
SIFT_SUPERPIXEL_SPATIAL_512_10000,SIFT,SUPERPIXEL_SPATIAL,512,1,1,10000,10000,1,932244,154.286,93.2244,0.0154286
ORB_SUPERPIXEL_SPATIAL_512_10000,ORB,SUPERPIXEL_SPATIAL,512,1,1,10000,10000,0.8,89613.5,56.4597,8.96135,0.00564597
CUSTOM_SDSLIC_SIFT_10000,SIFT,CUSTOM,0,0,0,10000,10000,1,9.80788e+06,1734.74,980.788,0.173474
